date,home_team,away_team,home_outcome,avg_odd_home_win,avg_odd_draw,avg_odd_away_win,home_ranking,away_ranking,last_home_result,last_away_result
12/01/2016,1,7,2,8.136,3.171,2.57,17,10,0,0
12/01/2016,2,26,0,7.374,3.345,3.671,20,12,-1,0
12/01/2016,17,15,1,9.622,3.778,2.139,15,4,0,1
13/01/2016,6,25,1,7.048,4.064,7.638,1,13,-1,1
13/01/2016,13,0,1,8.007,3.317,2.573,6,3,0,0
13/01/2016,14,8,1,7.122,4.17,5.825,2,11,-1,0
13/01/2016,19,24,2,7.334,3.237,3.866,7,19,0,0
13/01/2016,20,18,2,7.35,3.177,3.829,9,18,0,1
13/01/2016,22,21,0,7.195,3.387,4.649,8,16,-1,0
13/01/2016,23,12,0,7.1,3.51,4.518,5,14,0,1
16/01/2016,1,12,1,8.039,3.351,2.357,17,14,-1,1
16/01/2016,2,18,2,6.834,3.317,4.123,20,19,1,1
16/01/2016,6,8,1,6.784,3.512,4.325,1,11,1,-1
16/01/2016,14,7,2,6.641,4.509,7.922,2,10,-1,1
16/01/2016,17,26,2,7.319,3.228,2.838,15,12,-1,-1
16/01/2016,19,25,2,6.719,3.357,5.091,7,13,0,1
16/01/2016,23,21,2,6.626,4.54,8.513,5,16,-1,-1
17/01/2016,13,15,0,7.149,3.144,3.166,6,4,0,1
17/01/2016,20,0,1,8.574,3.586,2.19,9,3,0,-1
18/01/2016,22,24,2,7.06,3.135,3.107,8,18,0,1
23/01/2016,7,23,0,8.251,3.35,2.336,10,5,1,-1
23/01/2016,12,20,2,7.161,3.215,3.613,14,9,1,0
23/01/2016,15,19,0,7.033,3.229,4.299,4,7,-1,-1
23/01/2016,18,13,0,8.751,3.526,2.211,20,6,1,1
23/01/2016,21,2,1,7.817,3.22,2.555,16,20,1,-1
23/01/2016,24,17,2,7.171,3.257,3.558,19,15,1,-1
23/01/2016,25,1,1,7.21,3.066,3.62,13,17,-1,-1
23/01/2016,26,14,1,9.361,4.021,2.084,12,2,0,1
24/01/2016,0,6,0,7.195,3.265,3.607,3,1,1,-1
24/01/2016,8,22,0,6.941,3.501,4.932,11,8,1,-1
02/02/2016,0,19,1,7.301,3.368,4.715,3,7,-1,0
02/02/2016,7,2,0,7.766,3.121,3.047,10,18,1,1
02/02/2016,12,13,2,7.811,3.207,2.783,14,6,-1,-1
02/02/2016,15,20,2,7.253,3.43,5.311,4,9,0,-1
02/02/2016,18,23,0,9.223,3.733,2.138,19,5,-1,-1
02/02/2016,25,22,1,7.88,2.99,2.983,13,8,1,1
02/02/2016,26,1,2,7.377,3.28,4.165,12,17,-1,-1
03/02/2016,8,17,2,7.177,3.71,4.81,11,15,1,1
03/02/2016,24,6,1,8.979,3.485,2.223,18,1,-1,1
06/02/2016,1,18,2,7.302,3.116,3.062,17,18,-1,-1
06/02/2016,13,21,1,6.706,4.14,7.406,6,16,0,-1
06/02/2016,14,12,0,6.793,3.769,5.359,2,14,0,1
06/02/2016,17,25,2,7.119,3.163,3.448,15,13,0,-1
06/02/2016,19,26,2,6.379,3.429,4.829,7,12,1,0
06/02/2016,20,8,0,7.473,3.233,2.783,9,11,1,0
06/02/2016,22,7,1,7.151,3.115,3.367,8,10,0,0
06/02/2016,23,24,2,6.607,3.866,6.642,5,19,1,0
07/02/2016,2,0,0,8.415,3.478,2.245,18,3,0,0
07/02/2016,6,15,1,7.09,3.13,3.646,1,4,0,0
13/02/2016,2,20,0,7.05,3.187,3.689,19,9,-1,-1
13/02/2016,6,17,2,6.729,4.173,6.841,1,15,1,-1
13/02/2016,7,24,0,7.175,3.109,3.349,10,19,0,1
13/02/2016,8,25,0,6.741,3.754,6.335,11,13,1,1
13/02/2016,18,26,1,7.36,3.233,2.956,19,12,1,0
13/02/2016,21,15,2,9.349,3.791,2.14,16,4,-1,1
13/02/2016,22,19,0,7.794,3.195,2.551,8,7,-1,1
14/02/2016,0,12,2,6.887,3.677,4.353,3,14,-1,-1
14/02/2016,1,13,0,8.984,3.661,2.186,17,6,0,1
14/02/2016,14,23,0,7.079,3.365,3.532,2,5,-1,0
27/02/2016,12,18,2,7.082,3.95,5.714,14,19,0,1
27/02/2016,19,6,0,7.983,3.201,2.605,7,1,-1,0
27/02/2016,20,1,2,7.117,3.418,5.285,9,17,-1,-1
27/02/2016,24,2,1,7.614,3.142,3.038,18,19,1,1
27/02/2016,25,7,2,7.828,3.062,2.829,13,10,0,-1
27/02/2016,26,21,2,7.238,3.383,4.153,12,16,0,-1
28/02/2016,23,22,2,6.587,3.895,7.35,5,8,1,0
28/02/2016,15,0,2,7.714,3.227,2.52,4,3,1,1
01/03/2016,1,8,0,9.098,3.677,2.176,17,11,-1,1
01/03/2016,2,19,2,7.871,3.188,2.667,19,7,-1,-1
01/03/2016,12,25,1,7.042,3.489,5.117,14,13,-1,1
01/03/2016,18,6,0,9.763,4.075,2.086,19,1,1,-1
01/03/2016,21,7,1,7.595,3.172,2.983,16,10,-1,0
02/03/2016,0,22,0,6.932,4.568,8.455,3,8,1,1
02/03/2016,13,14,2,7.603,3.257,2.765,6,2,-1,1
02/03/2016,15,24,2,7.026,3.471,5.433,4,18,1,-1
02/03/2016,20,17,2,7.202,3.29,3.913,9,15,0,1
02/03/2016,26,23,2,8.702,3.512,2.231,12,5,-1,0
05/03/2016,6,20,1,6.963,3.868,6.396,1,9,-1,1
05/03/2016,8,26,0,7.096,3.589,4.609,11,12,1,-1
05/03/2016,17,2,0,7.707,3.232,2.757,15,19,-1,-1
05/03/2016,19,21,1,6.98,3.628,5.75,7,16,-1,0
05/03/2016,22,18,2,7.108,3.227,3.803,8,20,0,1
05/03/2016,23,0,1,7.545,3.269,2.976,5,3,-1,1
05/03/2016,24,12,0,7.817,3.244,2.559,20,14,1,1
06/03/2016,7,13,0,8.26,3.389,2.294,10,6,-1,-1
06/03/2016,25,15,2,8.658,3.438,2.226,13,4,1,1
12/03/2016,2,22,2,6.971,3.202,3.958,18,8,-1,1
12/03/2016,18,14,1,10.023,4.27,2.084,18,2,1,-1
12/03/2016,20,19,0,7.521,3.112,2.778,9,7,-1,1
14/03/2016,12,17,2,6.561,3.749,5.478,14,15,0,1
19/03/2016,6,26,1,7.07,3.554,4.62,1,12,-1,1
19/03/2016,7,12,0,7.986,3.24,2.533,10,14,-1,0
19/03/2016,8,0,0,7.74,3.409,2.636,11,3,-1,-1
19/03/2016,22,1,2,7.016,3.512,5.324,8,17,0,0
19/03/2016,24,20,0,7.522,3.087,3.094,18,9,1,1
19/03/2016,25,18,0,7.269,3.108,3.358,13,18,-1,1
20/03/2016,14,15,0,7.022,3.425,4.19,2,4,1,-1
20/03/2016,17,21,1,7.322,3.207,3.477,15,16,1,-1
