Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
01/03/2016,Bournemouth,Southampton,W,7.871,3.188,2.667,20,7,-1,-1
01/03/2016,Leicester,West Brom,D,7.042,3.489,5.117,14,13,-1,1
01/03/2016,Norwich,Chelsea,L,9.763,4.075,2.086,20,1,1,-1
01/03/2016,Sunderland,Crystal Palace,D,7.595,3.172,2.983,16,10,-1,0
02/03/2016,Arsenal,Swansea,L,6.932,4.568,8.455,3,8,1,1
02/03/2016,Liverpool,Man City,W,7.603,3.257,2.765,6,2,-1,1
02/03/2016,Man United,Watford,W,7.026,3.471,5.433,4,20,1,-1
02/03/2016,Stoke,Newcastle,W,7.202,3.29,3.913,9,15,0,1
02/03/2016,West Ham,Tottenham,W,8.702,3.512,2.231,12,5,-1,0
05/03/2016,Chelsea,Stoke,D,6.963,3.868,6.396,1,9,-1,1
05/03/2016,Everton,West Ham,L,7.096,3.589,4.609,11,12,1,-1
05/03/2016,Man City,Aston Villa,W,6.957,5.914,13.592,2,17,-1,1
05/03/2016,Newcastle,Bournemouth,L,7.707,3.232,2.757,15,20,-1,-1
05/03/2016,Southampton,Sunderland,D,6.98,3.628,5.75,7,16,-1,0
05/03/2016,Swansea,Norwich,W,7.108,3.227,3.803,8,20,0,1
05/03/2016,Tottenham,Arsenal,D,7.545,3.269,2.976,5,3,-1,1
05/03/2016,Watford,Leicester,L,7.817,3.244,2.559,20,14,1,1
06/03/2016,Crystal Palace,Liverpool,L,8.26,3.389,2.294,10,6,-1,-1
06/03/2016,West Brom,Man United,W,8.658,3.438,2.226,13,4,1,1
12/03/2016,Bournemouth,Swansea,W,6.971,3.202,3.958,20,8,-1,1
12/03/2016,Norwich,Man City,D,10.023,4.27,2.084,20,2,1,-1
12/03/2016,Stoke,Southampton,L,7.521,3.112,2.778,9,7,-1,1
13/03/2016,Aston Villa,Tottenham,L,10.979,4.641,2.113,17,5,-1,1
14/03/2016,Leicester,Newcastle,W,6.561,3.749,5.478,14,15,0,1
19/03/2016,Chelsea,West Ham,D,7.07,3.554,4.62,1,12,-1,1
19/03/2016,Crystal Palace,Leicester,L,7.986,3.24,2.533,10,14,-1,0
19/03/2016,Everton,Arsenal,L,7.74,3.409,2.636,11,3,-1,-1
19/03/2016,Swansea,Aston Villa,W,7.016,3.512,5.324,8,17,0,0
19/03/2016,Watford,Stoke,L,7.522,3.087,3.094,20,9,1,1
19/03/2016,West Brom,Norwich,L,7.269,3.108,3.358,13,20,-1,1
20/03/2016,Man City,Man United,L,7.022,3.425,4.19,2,4,1,-1
20/03/2016,Newcastle,Sunderland,D,7.322,3.207,3.477,15,16,1,-1
20/03/2016,Southampton,Liverpool,W,7.471,3.168,2.797,7,6,1,1
20/03/2016,Tottenham,Bournemouth,W,6.868,3.891,5.938,5,20,-1,1
02/04/2016,Arsenal,Watford,W,6.717,4.641,8.434,3,20,1,-1
02/04/2016,Aston Villa,Chelsea,L,10.431,4.302,2.098,17,1,1,-1
02/04/2016,Bournemouth,Man City,L,8.341,3.511,2.241,20,2,-1,-1
02/04/2016,Liverpool,Tottenham,D,7.285,3.237,2.873,6,5,-1,1
02/04/2016,Norwich,Newcastle,W,7.159,3.171,3.35,20,15,-1,-1
02/04/2016,Stoke,Swansea,D,7.254,3.168,3.418,9,8,1,1
02/04/2016,Sunderland,West Brom,D,7.174,3.136,3.674,16,13,-1,1
02/04/2016,West Ham,Crystal Palace,D,6.88,3.294,3.859,12,10,0,1
03/04/2016,Leicester,Southampton,W,7.41,3.187,3.272,14,7,-1,-1
03/04/2016,Man United,Everton,W,7.165,3.246,3.62,4,11,1,1
09/04/2016,Aston Villa,Bournemouth,L,8.362,3.369,2.305,17,20,1,1
09/04/2016,Crystal Palace,Norwich,W,7.145,3.21,3.6,10,20,0,0
09/04/2016,Man City,West Brom,W,6.935,4.603,8.796,2,13,-1,1
09/04/2016,Southampton,Newcastle,W,6.974,3.717,5.782,7,15,-1,-1
09/04/2016,Swansea,Chelsea,W,8.489,3.442,2.236,8,1,1,-1
09/04/2016,Watford,Everton,D,8.276,3.315,2.367,20,11,0,1
09/04/2016,West Ham,Arsenal,D,8.582,3.629,2.184,12,3,-1,-1
10/04/2016,Liverpool,Stoke,W,6.781,3.656,5.418,6,9,1,1
10/04/2016,Sunderland,Leicester,L,8.227,3.392,2.301,16,14,1,-1
10/04/2016,Tottenham,Man United,W,7.095,3.316,3.796,5,4,0,-1
13/04/2016,Crystal Palace,Everton,D,7.927,3.247,2.565,10,11,1,0
16/04/2016,Chelsea,Man City,L,7.972,3.283,2.702,1,2,0,1
16/04/2016,Everton,Southampton,D,7.935,3.23,2.773,11,7,-1,0
16/04/2016,Man United,Aston Villa,W,7.249,5.601,13.862,4,17,-1,-1
16/04/2016,Newcastle,Swansea,W,7.681,3.219,3.153,15,8,-1,1
16/04/2016,Norwich,Sunderland,L,7.605,3.163,3.115,20,16,-1,-1
16/04/2016,West Brom,Watford,L,7.71,3.055,3.213,13,20,1,1
17/04/2016,Arsenal,Crystal Palace,D,7.195,4.816,8.454,3,10,-1,-1
